video_id,path,label,source,identity
Custom_real__425.mp4,/kaggle/input/datasets/lalith023/400videos/content/drive/MyDrive/face_dataset_dip/real_videos/425.mp4,0,Custom_real,Custom_person_425
Custom_real__081.mp4,/kaggle/input/datasets/lalith023/400videos/content/drive/MyDrive/face_dataset_dip/real_videos/081.mp4,0,Custom_real,Custom_person_081
FF_real__754.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original/754.mp4,0,FF_real,FF_person_754
Custom_real__951.mp4,/kaggle/input/datasets/lalith023/400videos/content/drive/MyDrive/face_dataset_dip/real_videos/951.mp4,0,Custom_real,Custom_person_951
FF_FaceSwap__224_197.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceSwap/224_197.mp4,1,FF_FaceSwap,FF_person_224
Celeb_fake__id3_id28_0003.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-synthesis/id3_id28_0003.mp4,1,Celeb_fake,Celeb_person_id3
FF_NeuralTextures__012_026.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/NeuralTextures/012_026.mp4,1,FF_NeuralTextures,FF_person_012
YT_real__00276.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/YouTube-real/00276.mp4,0,YT_real,Celeb_00276
FF_FaceShifter__152_149.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceShifter/152_149.mp4,1,FF_FaceShifter,FF_person_152
FF_NeuralTextures__783_916.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/NeuralTextures/783_916.mp4,1,FF_NeuralTextures,FF_person_783
FF_real__223.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/original/223.mp4,0,FF_real,FF_person_223
Celeb_real__id38_0005.mp4,/kaggle/input/datasets/reubensuju/celeb-df-v2/Celeb-real/id38_0005.mp4,0,Celeb_real,Celeb_person_id38
DFDC__dbtbbhakdv.mp4,/kaggle/input/datasets/lalith023/dfdc-sample-videos/dbtbbhakdv.mp4,0,DFDC,DFDC_dbtbbhakdv
Custom_real__599.mp4,/kaggle/input/datasets/lalith023/400videos/content/drive/MyDrive/face_dataset_dip/real_videos/599.mp4,0,Custom_real,Custom_person_599
FF_FaceSwap__995_233.mp4,/kaggle/input/datasets/xdxd003/ff-c23/FaceForensics++_C23/FaceSwap/995_233.mp4,1,FF_FaceSwap,FF_person_995
